class,accuracy
0,0.9392097
1,0.81639344
2,0.9764706
3,0.97619045
4,0.99568963
5,0.0
6,0.96428573
7,0.9941406
8,0.9722222
9,0.9520697
10,0.96949154
11,0.8040201
12,0.33333334
13,0.9875
14,0.989011
15,0.9004525
