class,accuracy
0,0.41641337
1,0.23278688
2,0.88235295
3,0.7285714
4,0.92241377
5,0.65735567
6,0.95238096
7,0.9042969
8,0.8472222
9,0.6993464
10,0.90847456
11,0.0050251256
12,0.0
13,0.87
14,0.47252747
15,0.06334842
