class,accuracy,
0,0.9240122,0.0759878
1,0.8032787,0.1967213
2,0.9117647,0.0882353
3,0.96190476,0.03809524
4,0.9913793,0.0086207
5,0,1
6,0.9285714,0.0714286
7,0.9941406,0.0058594
8,0.9027778,0.0972222
9,0.96732026,0.03267974
10,0.95932204,0.04067796
11,0.6482412,0.3517588
12,0.6333333,0.3666667
13,0.8725,0.1275
14,0.989011,0.010989
15,0.959276,0.040724
