class,accuracy
0,0.14893617
1,0.4885246
2,0.5352941
3,0.20476191
4,0.92241377
5,0.98324025
6,0.70238096
7,0.9863281
8,0.013888889
9,0.6557734
10,0.8779661
11,0.50753766
12,0.36666667
13,0.975
14,0.978022
15,0.67873305
