class,accuracy
0,0.74164134
1,0.07213115
2,0.0
3,0.08571429
4,0.9913793
5,0.9422719
6,0.16666667
7,0.953125
8,0.0
9,0.9106754
10,0.83728814
11,0.32160804
12,0.0
13,0.69
14,0.0
15,0.19457014
