class,accuracy
0,0.8480243
1,0.7409836
2,0.9882353
3,0.8047619
4,0.9913793
5,0.9534451
6,0.9880952
7,0.9902344
8,0.9305556
9,0.90849674
10,0.9322034
11,0.71356785
12,0.0
13,0.9775
14,0.96703297
15,0.91855204
