class,accuracy
0,0.96960485
1,0.7737705
2,0.90588236
3,0.84761906
4,0.9913793
5,0.0
6,0.95238096
7,0.9941406
8,0.9305556
9,0.91938996
10,0.95932204
11,0.83919597
12,0.2
13,0.99
14,0.989011
15,0.77375567
