class,accuracy
0,0.92705166
1,0.8098361
2,0.9823529
3,0.9095238
4,0.99568963
5,0.48230913
6,0.9880952
7,0.9941406
8,0.9027778
9,0.9477124
10,0.95932204
11,0.81407034
12,0.13333334
13,0.9875
14,0.978022
15,0.9230769
