class,accuracy
0,0.9118541
1,0.6622951
2,0.9764706
3,0.9047619
4,0.9913793
5,0.98324025
6,0.9880952
7,0.98828125
8,0.9305556
9,0.9019608
10,0.9627119
11,0.85427135
12,0.7
13,0.9825
14,0.978022
15,0.7647059
