class,accuracy
0,0.9331307
1,0.30819672
2,0.7411765
3,0.947619
4,0.9439655
5,0.97020483
6,0.72619045
7,0.9121094
8,0.44444445
9,0.79520696
10,0.89152545
11,0.2763819
12,0.1
13,0.8175
14,0.61538464
15,0.25791857
