class,accuracy
0,0.8449848
1,0.3147541
2,0.7176471
3,0.6047619
4,0.98706895
5,0.97951585
6,0.9285714
7,0.9941406
8,0.20833333
9,0.84313726
10,0.9661017
11,0.13065326
12,0.0
13,0.9875
14,0.96703297
15,0.3800905
