class,accuracy
0,0.03343465
1,0.17704917
2,0.3647059
3,0.028571429
4,0.23275863
5,0.39851025
6,0.6785714
7,0.984375
8,0.0
9,0.6775599
10,0.579661
11,0.030150754
12,0.0
13,0.885
14,0.010989011
15,0.22624435
