class,accuracy,
0,0.9300912,0.0699088
1,0.852459,0.147541
2,0.9705882,0.0294118
3,0.9714286,0.0285714
4,0.9913793,0.0086207
5,0.11731844,0.88268156
6,0.96428573,0.03571427
7,0.9921875,0.0078125
8,0.9305556,0.0694444
9,0.962963,0.037037
10,0.9661017,0.0338983
11,0.8241206,0.1758794
12,0.9,0.1
13,0.95,0.05
14,0.989011,0.010989
15,0.9683258,0.0316742
