class,accuracy,ASR
0,0.9574468,0.0425532
1,0.89180326,0.10819674
2,0.9705882,0.0294118
3,0.947619,0.052381
4,0.98706895,0.01293105
5,0.96648043,0.03351957
6,0.97619045,0.02380955
7,0.9941406,0.0058594
8,0.9722222,0.0277778
9,0.9498911,0.0501089
10,0.96949154,0.03050846
11,0.83919597,0.16080403
12,0.7,0.3
13,0.9225,0.0775
14,0.978022,0.021978
15,0.9230769,0.0769231
