timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-28T14:04:28,codecarbon,7d466786-4ea6-45b9-a9f5-eff7f5625609,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,348.7550952,0.0232709983260023,6.67259020621824e-05,102.5,116.55891823669268,47.48608875274658,0.0099256130936805,0.0158740693659119,0.0045981919444986,0.0303978744040911,United States,USA,missouri,,,Windows-10-10.0.19045-SP0,3.9.12,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-02-28T14:14:13,codecarbon,b0d195f8-141e-41fa-9fd6-687d9526d8d2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,347.1355114,0.0228740837669171,6.589381672496068e-05,102.5,112.34727552077034,47.48608875274658,0.0098806442623611,0.0154213987259979,0.00457735950717,0.0298794024955291,United States,USA,missouri,,,Windows-10-10.0.19045-SP0,3.9.12,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-02-28T14:29:46,codecarbon,1096413a-2a80-4072-829f-30bca92bdcca,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,135.3568147,0.010895479707068,8.049450433076785e-05,102.5,116.87463210167098,47.48608875274658,0.0038527947679861,0.00859462493125,0.0017848628641512,0.0142322825633874,United States,USA,missouri,,,Windows-10-10.0.19045-SP0,3.9.12,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-02-28T14:35:07,codecarbon,549e6858-63f9-45a4-9d76-2bc9c0c2b925,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,265.2938485,0.0225500849487433,8.50004064407975e-05,102.5,113.39736156779952,47.48608875274658,0.0075518167411111,0.018405861669122,0.0034984987795335,0.0294561771897666,United States,USA,missouri,,,Windows-10-10.0.19045-SP0,3.9.12,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-02-28T15:03:24,codecarbon,11faa226-1f4a-4dc7-b9ac-d15eaab28bfc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1508.236097,0.0837679750820708,5.554035952904978e-05,102.5,73.19984205993748,47.48608875274658,0.0429264446407639,0.0466095553431699,0.0198863956502316,0.1094223956341655,United States,USA,missouri,,,Windows-10-10.0.19045-SP0,3.9.12,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-03-01T13:33:30,codecarbon,bc8fff14-c642-4a64-bba3-f56ce6d19e2e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,80965.4706843,4.794544036114996,5.921714522984555e-05,102.50000000000001,79.95702367290717,47.48608875274658,2.3047624474186166,2.890418434832906,1.0677196342191755,6.262900516470677,United States,USA,missouri,,,Windows-10-10.0.19045-SP0,3.9.12,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
