class,accuracy
0,0.8662614
1,0.78688526
2,0.9529412
3,0.89047617
4,0.9913793
5,0.0
6,0.96428573
7,0.9941406
8,0.9722222
9,0.9477124
10,0.9627119
11,0.72864324
12,0.2
13,0.9825
14,0.96703297
15,0.8687783
