class,accuracy
0,0.0030395137
1,0.0
2,0.029411765
3,0.0
4,0.51724136
5,0.016759777
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.04
14,1.0
15,0.0
