class,accuracy,
0,0.9544073,0.0455927
1,0.8,0.2
2,0.9764706,0.0235294
3,0.9714286,0.0285714
4,0.9913793,0.0086207
5,0.97951585,0.02048415
6,0.95238096,0.04761904
7,0.9902344,0.0097656
8,0.9583333,0.0416667
9,0.9281046,0.0718954
10,0.9661017,0.0338983
11,0.8040201,0.1959799
12,0.8333333,0.1666667
13,0.9475,0.0525
14,0.978022,0.021978
15,0.91855204,0.08144796
