class,accuracy
0,0.11550152
1,0.3409836
2,0.7235294
3,0.7714286
4,0.9741379
5,0.89944136
6,0.9285714
7,0.9921875
8,0.0
9,0.9346405
10,0.84745765
11,0.085427135
12,0.0
13,0.945
14,0.8791209
15,0.3529412
