class,accuracy
0,0.08206687
1,0.006557377
2,0.7
3,0.44285715
4,0.01724138
5,0.7318436
6,0.5
7,0.80859375
8,0.0
9,0.8104575
10,0.95932204
11,0.12060302
12,0.0
13,0.5575
14,0.010989011
15,0.09049774
