class,accuracy
0,0.9665654
1,0.44918033
2,0.9647059
3,0.13333334
4,0.9913793
5,0.97020483
6,1.0
7,0.98046875
8,0.8055556
9,0.7276688
10,0.8949153
11,0.28140703
12,0.43333334
13,0.9
14,0.94505495
15,0.6877828
