class,accuracy
0,0.87234044
1,0.73770493
2,0.9941176
3,0.9238095
4,0.98706895
5,0.9776536
6,0.9404762
7,0.9902344
8,0.9166667
9,0.9411765
10,0.9627119
11,0.85427135
12,0.7
13,0.955
14,1.0
15,0.9004525
