class,accuracy
0,0.9787234
1,0.5147541
2,0.87058824
3,0.947619
4,0.82327586
5,0.9124767
6,0.95238096
7,0.94921875
8,0.9305556
9,0.72331154
10,0.9728814
11,0.32663316
12,0.3
13,0.695
14,0.8021978
15,0.43891403
