class,accuracy
0,0.8693009
1,0.8
2,0.9705882
3,0.9095238
4,0.98706895
5,0.0
6,0.86904764
7,0.9941406
8,0.9166667
9,0.9281046
10,0.9559322
11,0.79396987
12,0.43333334
13,0.9875
14,0.978022
15,0.90950227
