timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-21T13:04:46,codecarbon,5dd198c0-d30f-4bea-b1ce-33f3d6c61524,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.252355100004934,0.0001556503879435,3.660333727617647e-05,102.5,22.2497699738041,47.48608875274658,0.000120999237014,2.626557656804085e-05,5.6054394187765656e-05,0.0002033192077698,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:04:51,codecarbon,eacade0f-593e-4253-95e1-32c1fd416cfc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2280186999996658,8.268903555421365e-06,3.62641465609333e-05,102.5,22.259767741315404,47.48608875274658,6.42821347224122e-06,1.3961122280470306e-06,2.976976771397418e-06,1.0801302471685669e-05,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:05:04,codecarbon,f798bb3f-2137-4527-a0cf-dee3cfce2651,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.467752099997597,0.0002717598804006,3.639112235672201e-05,102.5,21.196137450671905,47.48608875274658,0.0002125593693052,4.395559072001287e-05,9.847293506903476e-05,0.0003549878950943,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:05:13,codecarbon,c08cdfaf-838b-4ce1-bf57-f46e8853ea68,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.5469788999762386,0.0001289373138257,3.635130556502252e-05,102.5,21.07607659552577,47.48608875274658,0.0001009205148605,2.0751405490015973e-05,4.675318186332693e-05,0.0001684251022138,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:05:18,codecarbon,a0d44dbb-eb42-4222-8dd9-0ea6ff4b23a8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2300950000062585,7.862185916977042e-06,3.416930362138766e-05,102.5,12.263504260900971,47.48608875274658,6.488668542119234e-06,7.763895099599516e-07,3.004967182671413e-06,1.02700252347506e-05,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:05:30,codecarbon,20a0c72c-152c-48d1-b1bd-0a78b3e3fcc4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.509475200000452,0.0002716850861023,3.617897108207149e-05,102.5,20.20146989479179,47.48608875274658,0.0002137428627776,4.212614481197141e-05,9.902118702557504e-05,0.0003548901946151,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:05:40,codecarbon,28b59d82-7c19-494e-95c5-941c6bc71f15,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.672280900005717,0.0001361380288966,3.707179069455268e-05,102.5,24.45602914281145,47.48608875274658,0.0001044919394445,2.4931408833861468e-05,4.8407729101485206e-05,0.0001778310773799,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:05:45,codecarbon,d2519d30-6bb5-4f56-8714-d6d9d3f39bb9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2309344999957829,8.140919597135298e-06,3.525207189607424e-05,102.5,17.662768486411007,47.48608875274658,6.502312430489433e-06,1.1205564520166966e-06,3.011253813081524e-06,1.0634122695587656e-05,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:05:57,codecarbon,ce37a131-c1ad-4380-a3bd-c4ca51a0310d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.45771539999987,0.0002775139174529,3.721165297524528e-05,102.5,25.06143654177002,47.48608875274658,0.0002122668940972,5.1899763742035976e-05,9.833748100098308e-05,0.0003625041388403,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:06:07,codecarbon,342681ff-d8f2-4b2b-9745-617564f19f5e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.755841300007887,0.0001395889319567,3.7165822729645154e-05,102.5,24.904582318678383,47.48608875274658,0.0001068661754167,2.5965576328002005e-05,4.950708745674385e-05,0.0001823388392014,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:06:12,codecarbon,8ebd56c1-ee8b-4b3d-927e-275b6d4191e6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.2291170999815222,7.78128693687523e-06,3.396205231954653e-05,102.5,11.436933169043268,47.48608875274658,6.454795139123033e-06,7.202783540161128e-07,2.989276987047693e-06,1.016435048018684e-05,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
2025-05-21T13:06:24,codecarbon,c6e85ae0-1b46-447e-9687-a3883b4315cf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.349220000003697,0.0002665804406796,3.627329712261838e-05,102.5,20.646646251452065,47.48608875274658,0.0002091796937505,4.213531148611338e-05,9.690721715552734e-05,0.0003482222223922,United States,USA,missouri,,,Windows-11-10.0.22631-SP0,3.12.7,2.8.3,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,2,2 x NVIDIA RTX A5000,-91.7636,37.9475,126.62957000732422,machine,N,1.0
