class,accuracy
0,0.0
1,0.006557377
2,0.0
3,0.52380955
4,0.0
5,0.26443204
6,0.0
7,0.04296875
8,0.0
9,0.9912854
10,0.13220339
11,0.050251257
12,0.0
13,0.02
14,0.0
15,0.0
