class,accuracy
0,0.009118541
1,0.13114753
2,0.7176471
3,0.028571429
4,0.9396552
5,0.7970205
6,0.3690476
7,0.9921875
8,0.0
9,0.68409586
10,0.5966102
11,0.14070351
12,0.0
13,0.945
14,0.16483517
15,0.2850679
