class,accuracy
0,0.9088146
1,0.78688526
2,0.81764704
3,0.9047619
4,0.9913793
5,0.96089387
6,0.9404762
7,0.9921875
8,0.8611111
9,0.912854
10,0.9118644
11,0.7085427
12,0.033333335
13,0.9975
14,1.0
15,0.8597285
