class,accuracy
0,0.9148936
1,0.80655736
2,0.9
3,0.9238095
4,0.9913793
5,0.95530725
6,0.96428573
7,0.9824219
8,0.9583333
9,0.9281046
10,0.92542374
11,0.71859294
12,0.033333335
13,0.9975
14,0.96703297
15,0.8235294
