class,accuracy
0,0.8632219
1,0.2590164
2,0.9117647
3,0.114285715
4,0.9655172
5,0.94040966
6,0.6547619
7,0.921875
8,0.4861111
9,0.83006537
10,0.8949153
11,0.1758794
12,0.36666667
13,0.9225
14,0.7912088
15,0.20361991
