class,accuracy,
0,0.9574468,0.0425532
1,0.8557377,0.1442623
2,0.9823529,0.0176471
3,0.9714286,0.0285714
4,0.98706895,0.01293105
5,0.9534451,0.0465549
6,0.95238096,0.04761904
7,0.98828125,0.01171875
8,0.875,0.125
9,0.8540305,0.1459695
10,0.95932204,0.04067796
11,0.69849247,0.30150753
12,0.6333333,0.3666667
13,0.9775,0.0225
14,0.989011,0.010989
15,0.95022625,0.04977375
