class,accuracy
0,0.51367784
1,0.27213115
2,0.7
3,0.0
4,0.98275864
5,0.9459963
6,0.78571427
7,0.95703125
8,0.0
9,0.8714597
10,0.95254236
11,0.055276383
12,0.23333333
13,0.925
14,0.30769232
15,0.0
