class,accuracy
0,0.7537994
1,0.747541
2,0.89411765
3,0.52380955
4,0.99568963
5,0.94785845
6,0.9166667
7,0.9921875
8,0.6388889
9,0.94553375
10,0.8949153
11,0.5829146
12,0.0
13,0.9925
14,1.0
15,0.9004525
